ID	type
MA_10144952g0010	gene
MA_10145055g0010	gene
MA_101453g0010	gene
MA_101456g0010	gene
MA_10145917g0010	gene
MA_10145924g0010	gene
MA_10145939g0010	gene
MA_101460g0010	gene
MA_10146195g0010	gene
MA_10146282g0010	gene
MA_10146532g0010	gene
MA_10146548g0010	gene
MA_10146548g0020	gene
MA_10146757g0010	gene
MA_101469g0010	gene
MA_10147276g0010	gene
MA_10148001g0010	gene
MA_10148084g0010	gene
MA_10148262g0010	gene
MA_10148419g0010	gene
MA_10148529g0010	gene
MA_10149286g0010	gene
MA_101494g0010	gene
MA_10150173g0010	gene
MA_10150443g0010	gene
MA_10150655g0010	gene
MA_10150752g0010	gene
MA_10151018g0010	gene
MA_10151143g0010	gene
MA_10151149g0010	gene
MA_10151561g0010	gene
MA_101518g0010	gene
MA_10152247g0010	gene
MA_10152409g0010	gene
MA_10152707g0010	gene
MA_10152g0010	gene
MA_10153396g0010	gene
MA_101534g0010	gene
MA_101536g0010	gene
MA_10153966g0010	gene
MA_10154616g0010	gene
MA_10155182g0010	gene
MA_101553g0010	gene
MA_101556g0010	gene
MA_10155777g0010	gene
MA_10155865g0010	gene
MA_10155866g0010	gene
MA_10155901g0010	gene
MA_101560g0010	gene
MA_10156251g0010	gene
MA_10156318g0010	gene
MA_10156325g0010	gene
MA_10156354g0010	gene
MA_10156g0010	gene
MA_10157133g0010	gene
MA_101571g0010	gene
MA_10157572g0010	gene
MA_10157701g0010	gene
MA_10157937g0010	gene
MA_10158078g0010	gene
MA_10158313g0010	gene
MA_10158783g0010	gene
MA_101587g0020	gene
MA_10159381g0010	gene
MA_10159702g0010	gene
MA_10159883g0010	gene
MA_101601g0010	gene
MA_10160589g0010	gene
MA_10160983g0010	gene
MA_10161075g0010	gene
MA_101611g0010	gene
MA_10161g0010	gene
MA_10162007g0010	gene
MA_10162068g0010	gene
MA_101621g0020	gene
MA_10162289g0010	gene
MA_10162666g0010	gene
MA_10163020g0010	gene
MA_10163039g0010	gene
MA_10163880g0010	gene
MA_10163994g0020	gene
MA_10164206g0010	gene
MA_101646g0010	gene
MA_10164994g0010	gene
MA_10165257g0010	gene
MA_10165349g0010	gene
MA_10165689g0010	gene
MA_10165739g0010	gene
MA_101657g0010	gene
MA_10165844g0010	gene
MA_101658g0010	gene
MA_10166045g0010	gene
MA_10166253g0010	gene
MA_101663g0010	gene
MA_101664g0010	gene
MA_10166571g0010	gene
MA_10166825g0010	gene
MA_10166910g0010	gene
MA_10167043g0010	gene
MA_10167208g0010	gene
MA_10167247g0010	gene
MA_10167865g0010	gene
MA_10168001g0010	gene
MA_10168007g0010	gene
MA_10168149g0010	gene
MA_10168157g0010	gene
MA_101681g0010	gene
MA_10168324g0010	gene
MA_10168585g0010	gene
MA_101689g0010	gene
MA_10170098g0010	gene
MA_10170948g0010	gene
MA_10171045g0010	gene
MA_10171241g0010	gene
MA_10171276g0010	gene
MA_10171355g0010	gene
MA_10171437g0010	gene
MA_10171712g0010	gene
MA_10171844g0010	gene
MA_10171864g0010	gene
MA_10171901g0010	gene
MA_10171923g0010	gene
MA_10172334g0010	gene
MA_10172470g0010	gene
MA_10172523g0010	gene
MA_10172789g0010	gene
MA_10173310g0010	gene
MA_10173398g0010	gene
MA_10173729g0010	gene
MA_10173799g0010	gene
MA_10173959g0010	gene
MA_10174106g0010	gene
MA_10174610g0010	gene
MA_10174633g0010	gene
MA_10174788g0010	gene
MA_10174949g0010	gene
MA_101752g0020	gene
MA_10175371g0010	gene
MA_10175544g0010	gene
MA_101756g0010	gene
MA_10176172g0010	gene
MA_10176420g0010	gene
MA_101764g0010	gene
MA_10176568g0010	gene
MA_101766g0010	gene
MA_10176720g0010	gene
MA_10176945g0010	gene
MA_10177171g0010	gene
MA_10177682g0010	gene
MA_101776g0010	gene
MA_10177719g0010	gene
MA_101777g0010	gene
MA_10177821g0020	gene
